Label,Left_start,Left_end,Right_start,Right_end
12,1493.1061,1493.8261,1454.6805,1455.4005
12,1494.7461,1495.4661,1456.3205,1457.0405
12,1496.3461,1497.0661,1457.9205,1458.6405
12,1497.8261,1498.5061,1459.4005,1460.0805
12,1499.3061,1499.9861,1460.8805,1461.5605
11,1506.6261,1518.2261,1468.2005,1479.8005
8,1518.3061,1520.5861,1479.8805,1482.1605
7,1522.0261,1524.1861,1483.6005,1485.7605
8,1525.5861,1528.1061,1487.1605,1489.6805
3,1528.1861,1531.0261,1489.7605,1492.6005
5,1532.0661,1575.5061,1493.6405,1537.0805
4,1576.4261,1581.3461,1538.0005,1542.9205
8,1581.4661,1581.9461,1543.0405,1543.5205
6,1582.2661,1583.5461,1543.8405,1545.1205
1,1583.9461,1584.1061,1545.5205,1545.6805
2,1584.1861,1587.0261,1545.7605,1548.6005
3,1587.1061,1590.3061,1548.6805,1551.8805
5,1591.7061,1623.6661,1553.2805,1585.2405
11,1624.5061,1627.3861,1586.0805,1588.9605
4,1629.6661,1634.4261,1591.2405,1596.0005
2,1634.5061,1636.7461,1596.0805,1598.3205
3,1639.3061,1643.3861,1600.8805,1604.9605
5,1643.8261,1682.5861,1605.4005,1644.1605
4,1683.7061,1688.3061,1645.2805,1649.8805
6,1688.6261,1690.6261,1650.2005,1652.2005
9,1689.1461,1693.2661,1650.7205,1654.8405
8,1693.3061,1694.2261,1654.8805,1655.8005
3,1694.2661,1696.6261,1655.8405,1658.2005
5,1697.5061,1726.2261,1659.0805,1687.8005
4,1727.9061,1731.1461,1689.4805,1692.7205
6,1733.7061,1735.0661,1695.2805,1696.6405
8,1735.1461,1736.5861,1696.7205,1698.1605
3,1736.7861,1740.4261,1698.3605,1702.0005
5,1740.9061,1767.8261,1702.4805,1729.4005
4,1769.3461,1773.2261,1730.9205,1734.8005
8,1777.0661,1778.5061,1738.6405,1740.0805
7,1779.0661,1780.1861,1740.6405,1741.7605
8,1780.6661,1782.4661,1742.2405,1744.0405
3,1783.1461,1786.1461,1744.7205,1747.7205
5,1787.9061,1821.4661,1749.4805,1783.0405
11,1823.7461,1828.9861,1785.3205,1790.5605
4,1826.5861,1827.9861,1788.1605,1789.5605
8,1831.1861,1832.7061,1792.7605,1794.2805
12,1836.5061,1837.2261,1798.0805,1798.8005
12,1837.9461,1838.5861,1799.5205,1800.1605
12,1839.3061,1839.9861,1800.8805,1801.5605
12,1840.7061,1841.3461,1802.2805,1802.9205
12,1842.0661,1842.6261,1803.6405,1804.2005
